Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C2, C22, C27, C29, C3, C4, C5",0402,9,100n,C77020
"C10, C9",CP_Elec_4x5.4,2,4.7u,C72511
"C11, C33",0402,2,10n,C1524
"C13, C23, C28, C32, C6",0805,5,10u,C15850
"C14, C19",0402,2,100p,C327198
"C15, C17",0402,2,680p,C782153
"C16, C18",CP_Elec_3x5.4,2,10u,C250999
"C20, C25, C26",0805,3,1u,C215803
"C21, C24",0402,2,33p,C107005
"C30, C31",0603,2,1u,C15849
"C7, C8",0402,2,20p,C182483
"FB1, FB2",0603,2,220R,C80165
J1,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0_16P,C2988369
J2,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,C7501582
J5,XDJK-0271-1650,1,Conn_Coaxial_x2,C7527522
"R1, R2",0603,2,5k1,C844933
"R10, R14",0402,2,28k,C2998150
"R11, R12",0402,2,14k,C226789
"R13, R9",0402,2,4k53,C416543
"R15, R16",0603,2,47,C114623
R17,0603,1,10k,C844918
RV1,Potentiometer_Alps_RK163_Single_Horizontal,1,R_Potentiometer,C3007973
SW1,JS102011JCQN,1,SW_SPDT,C221659
U1,LQFP-64_10x10mm_P0.5mm,1,STM32F401RCT6,C74524
U2,SSOP-16_3.9x4.9mm_P0.635mm,1,PCM1780,C130014
U4,SOT-23-6,1,USBLC6-2SC6,C2827654
U5,TSSOP-14_4.4x5mm_P0.65mm,1,DRV602PWR,C129432
U6,SOT-23-5,1,74AHC1G02,C7463
U7,SOT-23-5,1,SPX3819M5-L-3-3,C9055
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,24MHz,C7466181
