Designator,Mid X,Mid Y,Rotation,Layer
C1,70.4,-84.5,0.0,top
C10,56.725,-88.6,0.0,top
C11,64.712499,-79.4,270.0,top
C12,60.612499,-79.4,270.0,top
C13,91.05,-100.51,0.0,top
C14,91.3,-85.9,90.0,top
C15,89.8,-88.5,0.0,top
C16,93.85,-91.0,270.0,top
C17,101.8,-88.5,180.0,top
C18,97.75,-91.0,270.0,top
C19,100.3,-85.92,90.0,top
C2,81.35,-87.95,270.0,top
C20,95.75,-81.1,0.0,top
C21,88.92,-79.2,180.0,top
C22,93.7,-96.31,90.0,top
C23,94.25,-99.71,270.0,top
C24,102.7,-79.2,0.0,top
C25,56.250001,-92.1,180.0,top
C26,59.0,-94.4,90.0,top
C27,66.6,-94.0,90.0,top
C28,77.7,-100.45,0.0,top
C29,68.1,-97.0,270.0,top
C3,78.9,-98.32,270.0,top
C30,100.5,-82.6,90.0,top
C31,91.1,-83.4,270.0,top
C32,92.1,-80.8,0.0,top
C33,56.2,-84.6,90.0,top
C4,70.9,-99.4,180.0,top
C5,67.7,-86.5,180.0,top
C6,67.7,-85.0,180.0,top
C7,66.6,-89.4,90.0,top
C8,66.6,-91.4,270.0,top
C9,56.725,-79.4,0.0,top
FB1,62.7,-78.9,180.0,top
FB2,57.2,-94.6,270.0,top
J1,67.2,-71.2,180.0,top
J2,81.0,-76.0,270.0,top
J5,95.8,-68.2,180.0,top
R1,60.95,-74.65,270.0,top
R10,90.3,-85.9,90.0,top
R11,91.8,-88.5,180.0,top
R12,99.8,-88.5,0.0,top
R13,100.8,-87.4,180.0,top
R14,101.3,-85.9,90.0,top
R15,89.4,-81.2,90.0,top
R16,102.2,-81.2,90.0,top
R17,58.0,-73.0,270.0,top
R2,73.85,-74.65,270.0,top
R9,90.8,-87.4,0.0,top
RV1,57.7,-109.15,90.0,top
SW1,51.625,-72.2,270.0,top
U1,73.9,-91.8,270.0,top
U2,89.2,-95.7,270.0,top
U4,67.2,-78.9,90.0,top
U5,95.8,-84.9,90.0,top
U6,88.7,-91.0,0.0,top
U7,58.5,-84.0,90.0,top
Y1,64.2,-90.1,270.0,top
